Target,Model,RMSE,R2,MAE,MAPE
cloud,RandomForest,6.6359918781515566,0.954258325936284,4.427629741721011,1.7976931348623157e+308
cloud,XGBoost,0.8311070785414714,0.9992825388908386,0.5627299547195435,1.7976931348623157e+308
cloud,LightGBM,1.0180497437826586,0.9989234396980119,0.6750584746020923,1.7976931348623157e+308
dewpoint,RandomForest,0.3075848329890562,0.9941429478469725,0.18817519129759358,1.7976931348623157e+308
dewpoint,XGBoost,0.13884428169272442,0.9988065471827652,0.09301006824014776,1.7976931348623157e+308
dewpoint,LightGBM,0.15101743200188184,0.9985881016851058,0.0975129930805761,1.7976931348623157e+308
gust_speed,RandomForest,1.87621598936756,0.8961208628044158,1.456161151312577,1.7976931348623157e+308
gust_speed,XGBoost,1.5658809224310282,0.9276430696333493,1.1917834425929739,1.7976931348623157e+308
gust_speed,LightGBM,1.6628790759743115,0.9184011561327488,1.2664587845080806,1.7976931348623157e+308
humidity,RandomForest,1.446456547060076,0.9893631563037787,0.9759273897658862,1.39717911784534
humidity,XGBoost,0.47304799263252767,0.9988623261451721,0.310488224029541,0.46978639476327005
humidity,LightGBM,0.5117591057620707,0.9986685245842588,0.34257870127388157,0.5110464479563438
precipitation,RandomForest,0.33558804508621304,0.8612632243729341,0.09495524608792545,1.7976931348623157e+308
precipitation,XGBoost,0.07378524696485037,0.993293163720803,0.022948994875464854,1.7976931348623157e+308
precipitation,LightGBM,0.07490135330033736,0.9930887283495892,0.025580825274932842,1.7976931348623157e+308
pressure,RandomForest,0.3315400389128286,0.9953878618272077,0.24780988745893537,0.024529983695231596
pressure,XGBoost,0.06841328722355118,0.9998036136680748,0.04284648787793182,0.004240391741471556
pressure,LightGBM,0.12472349347563712,0.9993472800676826,0.08213526639438215,0.008126634253513482
rain_probability,RandomForest,7.243018378668761,0.9741815580420223,3.663213355961497,1.7976931348623157e+308
rain_probability,XGBoost,0.39655485607262303,0.9999226331710815,0.15720896422863007,1.7976931348623157e+308
rain_probability,LightGBM,0.14986242595203225,0.9999889470966206,0.04855669022389206,1.7976931348623157e+308
snow_probability,RandomForest,0.0,1.0,0.0,inf
snow_probability,XGBoost,0.0,1.0,0.0,inf
snow_probability,LightGBM,0.0,1.0,0.0,inf
temperature,RandomForest,0.34914175091241023,0.9940060391012633,0.2365336354639816,0.9776057503490192
temperature,XGBoost,0.16083599751716846,0.9987280300587569,0.11245368630344177,0.4802845053354256
temperature,LightGBM,0.18944088159566758,0.9982353533878348,0.13237513875560272,0.5696408429837599
uv_index,RandomForest,0.175280472960781,0.9970703404773337,0.08734778589901933,1.7976931348623157e+308
uv_index,XGBoost,0.030659208866360733,0.9999103661675047,0.011779425224623302,1.7976931348623157e+308
uv_index,LightGBM,0.031772497411150714,0.9999037384647463,0.009759027158885478,1.7976931348623157e+308
visibility,RandomForest,0.45127589895602604,0.9546507644604252,0.1753631985822543,1.7976931348623157e+308
visibility,XGBoost,0.04022602191252678,0.9996396704642553,0.014414290823567355,1.7976931348623157e+308
visibility,LightGBM,0.06682475967679546,0.9990056014059704,0.02367056010947767,1.7976931348623157e+308
wind_speed,RandomForest,1.026485818385081,0.9727985745254881,0.6966963905167056,1.7976931348623157e+308
wind_speed,XGBoost,0.27361219925035035,0.9980673346072598,0.15698166646686718,1.7976931348623157e+308
wind_speed,LightGBM,0.17455038820206523,0.9992134480822279,0.11182294126187067,1.7976931348623157e+308
